Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,CONCEPTSTATUS,CTV3ID,RDF Schema Label,ISPRIMITIVE,PAR,RN,RO,Semantic_Type,SNOMEDID,SY,SYNONYM FN,SYNONYM IS,SYNONYM MTH_FN,SYNONYM MTH_PT,SYNONYM OF,SYNONYM SY,TUI,UMLS_CUI
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#185995003,Black Indian sub-continent,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#185989004|http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#315280000,0,9S46.,Black Indian sub-continent,1,"Black, other, non-mixed origin (Id: 185989004)|Asian - ethnic group (Id: 315280000)",,,Population Group,F-00179,Black Indian sub-continent (Id: 154172005),Black Indian sub-continent (ethnic group),,,,,,T098,C0422778
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#80528001,Xosa,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18167009,0,XULLP,Xosa,1,Black African (Id: 18167009),,,Population Group,S-62330,,Xosa (ethnic group),,,,,,T098,C0337851
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#67439005,Msutu,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18167009,0,XUIkX,Msutu,1,Black African (Id: 18167009),,,Population Group,S-62210,,Msutu (ethnic group),,,,,,T098,C0337844
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#76574004,Swiss,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XUKZ7,Swiss,1,Ethnic group (Id: 372148003),,,Population Group,S-61320,,Swiss (ethnic group),,,,,,T098,C0241315
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#90822005,Gambians,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18167009,0,XUNSE,Gambians,1,Black African (Id: 18167009),,,Population Group,S-62090,,Gambians (ethnic group),,,,,,T098,C0337833
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#80208004,Portuguese,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#372148003,0,XULHW,Portuguese,1,Ethnic group (Id: 372148003),,,Population Group,S-61280,,Portuguese (ethnic group),,,,,,T098,C0032730
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#37843006,Fulani,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18167009,0,XUCqu,Fulani,1,Black African (Id: 18167009),,,Population Group,S-62080,,Fulani (ethnic group),,,,,,T098,C0337832
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#73524008,Caingang,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#66920001,0,XUJxp,Caingang,1,Amerind (Id: 66920001),,,Population Group,S-63120,,Caingang (ethnic group),,,,,,T098,C0337863
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#10292001,Guamians,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18575005,0,XU0n6,Guamians,1,Oceanian (Id: 18575005),,,Population Group,S-65070,,Guamians (ethnic group),,,,,,T098,C0337919
http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#41076003,Mozambiquans,,,FALSE,,,http://purl.bioontology.org/ontology/SNOMED-Ethnic-Group#18167009,0,XUDYC,Mozambiquans,1,Black African (Id: 18167009),,,Population Group,S-62200,,Mozambiquans (ethnic group),,,,,,T098,C0337843
